"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1863","Проверить ошибку при повторном создании курьера с существующим логином","","Sun May 11 22:55:09 MSK 2025","passed","Sun May 11 22:55:11 MSK 2025","","Courier.CreateCourierTests","Courier.CreateCourierTests","courierCreationWithSameLoginTest"
"","439","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@2165b170]","","Sun May 11 22:55:29 MSK 2025","passed","Sun May 11 22:55:30 MSK 2025","","Order.CreateOrderTests","Order.CreateOrderTests","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@2165b170]"
"","538","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@7cd6b76a]","","Sun May 11 22:55:29 MSK 2025","passed","Sun May 11 22:55:29 MSK 2025","","Order.CreateOrderTests","Order.CreateOrderTests","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@7cd6b76a]"
"","1845","Авторизация без поля логина","","Sun May 11 22:55:21 MSK 2025","passed","Sun May 11 22:55:22 MSK 2025","","Courier.LoginCourierTests","Courier.LoginCourierTests","courierLoginWithoutLoginFieldTest"
"","1912","Авторизация без поля пароля","","Sun May 11 22:55:22 MSK 2025","passed","Sun May 11 22:55:24 MSK 2025","","Courier.LoginCourierTests","Courier.LoginCourierTests","courierLoginWithoutPasswordFieldTest"
"","471","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@272de8ab]","","Sun May 11 22:55:28 MSK 2025","passed","Sun May 11 22:55:29 MSK 2025","","Order.CreateOrderTests","Order.CreateOrderTests","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@272de8ab]"
"","1585","Проверить успешное удаление курьера","","Sun May 11 22:55:17 MSK 2025","passed","Sun May 11 22:55:19 MSK 2025","","Courier.DeleteCourierTests","Courier.DeleteCourierTests","deleteCourierTest"
"","6096","Проверить ошибку при попытке создания курьера с неполными данными","","Sun May 11 22:55:03 MSK 2025","passed","Sun May 11 22:55:09 MSK 2025","","Courier.CreateCourierTests","Courier.CreateCourierTests","courierCreationWithEmptyLoginOrPasswordField"
"","1441","Проверить отображение ошибки при попытке удаления курьера с несуществующим id","","Sun May 11 22:55:14 MSK 2025","passed","Sun May 11 22:55:16 MSK 2025","","Courier.DeleteCourierTests","Courier.DeleteCourierTests","deleteCourierWithWrongIdTest"
"","1392","Проверить отображение ошибки при попытке удаления курьера с пустым id","","Sun May 11 22:55:16 MSK 2025","passed","Sun May 11 22:55:17 MSK 2025","","Courier.DeleteCourierTests","Courier.DeleteCourierTests","deleteCourierWithoutIdTest"
"","3040","Проверить создание уникального курьера","","Sun May 11 22:55:11 MSK 2025","passed","Sun May 11 22:55:14 MSK 2025","","Courier.CreateCourierTests","Courier.CreateCourierTests","courierCreationWithUniqueLoginTest"
"","1837","Авторизация курьера с корректными данными","","Sun May 11 22:55:26 MSK 2025","passed","Sun May 11 22:55:28 MSK 2025","","Courier.LoginCourierTests","Courier.LoginCourierTests","courierLoginTest"
"","1892","Авторизация с несуществующим логином","","Sun May 11 22:55:24 MSK 2025","passed","Sun May 11 22:55:26 MSK 2025","","Courier.LoginCourierTests","Courier.LoginCourierTests","courierLoginWithNonExistedLogin"
"","2483","getOrderListTest","","Sun May 11 22:55:30 MSK 2025","passed","Sun May 11 22:55:33 MSK 2025","","Order.OrderListTests","Order.OrderListTests","getOrderListTest"
"","470","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@9677f54]","","Sun May 11 22:55:30 MSK 2025","passed","Sun May 11 22:55:30 MSK 2025","","Order.CreateOrderTests","Order.CreateOrderTests","createSuccessfulOrderTest[Цвет: [Ljava.lang.String;@9677f54]"
"","1879","Авторизация с неверным паролем","","Sun May 11 22:55:19 MSK 2025","passed","Sun May 11 22:55:21 MSK 2025","","Courier.LoginCourierTests","Courier.LoginCourierTests","courierLoginWithIncorrectPassword"
